1000 kb, 0.009004 s, 111064.921875 kbs
2000 kb, 0.005700 s, 350873.656250 kbs
3000 kb, 0.015976 s, 187780.609375 kbs
4000 kb, 0.009668 s, 413735.593750 kbs
5000 kb, 0.025491 s, 196151.093750 kbs
6000 kb, 0.030556 s, 196361.390625 kbs
7000 kb, 0.019799 s, 353551.093750 kbs
8000 kb, 0.022780 s, 351189.843750 kbs
9000 kb, 0.024968 s, 360456.531250 kbs
10000 kb, 0.019791 s, 505272.062500 kbs
