1000 kb, 0.044560 s, 22441.794922 kbs
2000 kb, 0.043057 s, 46449.937500 kbs
3000 kb, 0.113337 s, 26469.761719 kbs
4000 kb, 0.126273 s, 31677.433594 kbs
5000 kb, 0.175581 s, 28476.820313 kbs
6000 kb, 0.192746 s, 31128.980469 kbs
7000 kb, 0.154823 s, 45212.976563 kbs
8000 kb, 0.172761 s, 46306.769531 kbs
9000 kb, 0.147886 s, 60857.609375 kbs
10000 kb, 0.109930 s, 90966.859375 kbs
