1000 kb, 0.000003 s, 347966112.000000 kbs
2000 kb, 0.000002 s, 1217879808.000000 kbs
3000 kb, 0.000003 s, 1043898304.000000 kbs
4000 kb, 0.000004 s, 1082563072.000000 kbs
5000 kb, 0.000002 s, 2435772672.000000 kbs
6000 kb, 0.000002 s, 3653639424.000000 kbs
7000 kb, 0.000002 s, 4262579200.000000 kbs
8000 kb, 0.000002 s, 4871519232.000000 kbs
9000 kb, 0.000002 s, 4384359424.000000 kbs
10000 kb, 0.000002 s, 4871545344.000000 kbs
