1000 kb, 0.002343 s, 426728.281250 kbs
2000 kb, 0.001704 s, 1173862.625000 kbs
3000 kb, 0.001760 s, 1704126.750000 kbs
4000 kb, 0.002315 s, 1727799.250000 kbs
5000 kb, 0.002882 s, 1734875.250000 kbs
6000 kb, 0.003385 s, 1772539.750000 kbs
7000 kb, 0.003968 s, 1763951.500000 kbs
8000 kb, 0.003789 s, 2111172.250000 kbs
9000 kb, 0.004261 s, 2111935.000000 kbs
10000 kb, 0.004654 s, 2148888.500000 kbs
