1000 kb,0.023303 s,42913.406250 kbs
2000 kb,0.119950 s,16673.556641 kbs
3000 kb,0.559691 s,5360.099121 kbs
4000 kb,1.248503 s,3203.836670 kbs
5000 kb,1.654459 s,3022.135498 kbs
6000 kb,1.816176 s,3303.644531 kbs
7000 kb,1.872968 s,3737.383545 kbs
8000 kb,1.864384 s,4290.960938 kbs
9000 kb,1.783175 s,5047.178223 kbs
10000 kb,1.900301 s,5262.323730 kbs
