1000 kb, 0.016005 s, 62481.144531 kbs
2000 kb, 0.015423 s, 129679.234375 kbs
3000 kb, 0.029522 s, 101620.054688 kbs
4000 kb, 0.035653 s, 112192.945313 kbs
5000 kb, 0.045686 s, 109443.070313 kbs
6000 kb, 0.053680 s, 111773.359375 kbs
7000 kb, 0.047061 s, 148743.812500 kbs
8000 kb, 0.063295 s, 126392.085938 kbs
9000 kb, 0.065917 s, 136534.765625 kbs
10000 kb, 0.073207 s, 136598.218750 kbs
