1000 kb,0.002334 s,428530.093750 kbs
2000 kb,0.001785 s,1120664.875000 kbs
3000 kb,0.002639 s,1136791.375000 kbs
4000 kb,0.002405 s,1662921.875000 kbs
5000 kb,0.002413 s,2072286.000000 kbs
6000 kb,0.002807 s,2137573.500000 kbs
7000 kb,0.003466 s,2019705.625000 kbs
8000 kb,0.004037 s,1981908.125000 kbs
9000 kb,0.004665 s,1929403.750000 kbs
10000 kb,0.005695 s,1755886.000000 kbs
