1000 kb,0.018756 s,53316.515625 kbs
2000 kb,0.031252 s,63996.347656 kbs
3000 kb,0.642441 s,4669.687500 kbs
4000 kb,0.743630 s,5379.018555 kbs
5000 kb,0.711455 s,7027.848145 kbs
6000 kb,0.483318 s,12414.198242 kbs
7000 kb,0.501509 s,13957.887695 kbs
8000 kb,0.458720 s,17439.818359 kbs
9000 kb,0.452425 s,19892.818359 kbs
10000 kb,0.477687 s,20934.214844 kbs
