1000 kb,0.013207 s,75717.773438 kbs
2000 kb,0.005440 s,367634.875000 kbs
3000 kb,0.039986 s,75025.875000 kbs
4000 kb,0.108480 s,36872.988281 kbs
5000 kb,0.201620 s,24799.074219 kbs
6000 kb,0.207888 s,28861.712891 kbs
7000 kb,0.164626 s,42520.542969 kbs
8000 kb,0.098927 s,80867.351563 kbs
9000 kb,0.177914 s,50586.320313 kbs
10000 kb,0.123650 s,80873.257813 kbs
