1000 kb,0.000017 s,57994400.000000 kbs
2000 kb,0.000004 s,541281536.000000 kbs
3000 kb,0.000003 s,913409856.000000 kbs
4000 kb,0.000004 s,1082563072.000000 kbs
5000 kb,0.000003 s,1522356480.000000 kbs
6000 kb,0.000003 s,2087796608.000000 kbs
7000 kb,0.000005 s,1550030080.000000 kbs
8000 kb,0.000009 s,885732928.000000 kbs
9000 kb,0.000005 s,1826825088.000000 kbs
10000 kb,0.000005 s,1873665024.000000 kbs
