GFLOPS: 2.069468, Runtime: 0.000483 
GFLOPS: 114.624161, Runtime: 0.000035 
GFLOPS: 223.692573, Runtime: 0.000040 
GFLOPS: 333.095911, Runtime: 0.000048 
GFLOPS: 464.840531, Runtime: 0.000054 
GFLOPS: 592.483201, Runtime: 0.000061 
GFLOPS: 573.809828, Runtime: 0.000085 
GFLOPS: 674.843652, Runtime: 0.000095 
GFLOPS: 892.746009, Runtime: 0.000091 
GFLOPS: 1019.148129, Runtime: 0.000098 
