GFLOPS: 5.117152, Runtime: 0.000195 
GFLOPS: 99.418957, Runtime: 0.000040 
GFLOPS: 219.218830, Runtime: 0.000041 
GFLOPS: 360.853985, Runtime: 0.000044 
GFLOPS: 553.582709, Runtime: 0.000045 
GFLOPS: 718.750093, Runtime: 0.000050 
GFLOPS: 932.441030, Runtime: 0.000053 
GFLOPS: 1154.732373, Runtime: 0.000055 
GFLOPS: 1506.083320, Runtime: 0.000054 
GFLOPS: 1917.924293, Runtime: 0.000052 
