GFLOPS: 0.827085, Runtime: 0.001209 
GFLOPS: 47.760075, Runtime: 0.000084 
GFLOPS: 169.937032, Runtime: 0.000053 
GFLOPS: 265.117219, Runtime: 0.000060 
GFLOPS: 356.105814, Runtime: 0.000070 
GFLOPS: 468.917109, Runtime: 0.000077 
GFLOPS: 557.721719, Runtime: 0.000088 
GFLOPS: 799.430282, Runtime: 0.000080 
GFLOPS: 909.202186, Runtime: 0.000089 
GFLOPS: 1014.901633, Runtime: 0.000099 
