GFLOPS: 1.983521, Runtime: 0.000504 
GFLOPS: 36.085391, Runtime: 0.000111 
GFLOPS: 87.687514, Runtime: 0.000103 
GFLOPS: 155.267835, Runtime: 0.000103 
GFLOPS: 239.740537, Runtime: 0.000104 
GFLOPS: 335.967424, Runtime: 0.000107 
GFLOPS: 450.386566, Runtime: 0.000109 
GFLOPS: 581.674935, Runtime: 0.000110 
GFLOPS: 720.061671, Runtime: 0.000112 
GFLOPS: 882.523182, Runtime: 0.000113 
